,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
6,Stéphane Demphlous|Franck Lebastard,,Intégration de langages et de bases de données à objets : une approche par les méta-objets.,1996,,,,810901,conf/lmo/DemphlousL96,1,0,6,0,6,3
8,Shuguang Zhao|Licheng Jiao|Jianxun Zhao|Yuping Wang,,Evolutionary Design of Analog Circuits with a Uniform-Design Based Multi-Objective Adaptive Genetic Algorithm.,2005,,,,210834,conf/eh/ZhaoJZW05,1,0,8,0,8,3
14,Letter to the editor: Differential rain attenuation statistics on two converging point-to-point terrestrial links located in a tropical climatic region.,,Athanasios D. Panagopoulos|John D. Kanellopoulos,-2003,,,,1816128,journals/adt/PanagopoulosK03,2,4,0,4,0,3
24,Zahra Kebaili|Alex Aussem,,A novel Bayesian Network structure learning algorithm based on minimal correlated itemset mining techniques.,2007,,,,834282,conf/icdim/KebailiA07,2,0,5,0,5,3
26,A PTAS for the Weighted 2-Interval Pattern Problem over the Preceding-and-Crossing Model.,,Minghui Jiang,-2007,,,,827025,conf/cocoa/Jiang07,1,0,13,0,13,3
29,Humberto González Díaz|Guillermín Agüero-Chapín|Javier Varona|Reinaldo Molina Ruiz|Giovanna Delogu|Lourdes Santana|Eugenio Uriarte|Gianni Podda,,2D-RNA-coupling numbers: A new computational chemistry approach to link secondary structure topology with biological function.,2007,,,,2092932,journals/jcc/DiazAVRDSUP07,0,7,5,7,5,3
31,Ronny van Laarschot|Wouter Van Steenbergen|Heiner Stuckenschmidt|Arno R. Lodder|Frank van Harmelen,,The Legal Concepts and the Layman's Terms - Bridging the Gap through Ontology-Based Reasoning about Liability.,-2005,,,,870329,conf/jurix/LaarschotSSLH05,1,0,5,0,5,3
37,M. Wada|Yoshifumi Nishio|Akio Ushida,,Chaotic itinerancy phenomena on coupled n-double scrolls chaotic circuits.,-1999,,,,501394,conf/iscas/WadaNU99,2,0,5,0,5,3
38,PhuongAn Dam|Zhengchang Su|Victor Olman|Ying Xu,,In Silico Construction of the Carbon Fixation Pathway in Synechococcus sp. WH8102.,2004,,,,142068,conf/csb/DamSOX04,0,0,0,0,0,3
46,M. R. K. Krishna Rao|Abdul Sattar,,Polynomial-time learnability of logic programs with local variables from entailment.,-2001,,,,2243530,journals/tcs/RaoS01,0,12,5,12,5,3
53,Efficient and Provably Secure Client-to-Client Password-Based Key Exchange Protocol.,,Jin Wook Byun|Dong Hoon Lee|Jongin Lim,-2006,,,,56109,conf/apweb/ByunLL06,1,0,24,0,24,3
57,Kai Chen|Fan Jiang|Chuan-dong Huang,,A new method of generating synchronizable test sequences that detect output-shifting faults based on multiple UIO sequences.,-2006,,,,663600,conf/sac/ChenJH06,4,0,25,0,25,3
59,Johan Liu,,"Foldable Flex and Thinned Silicon Chips for Multichip Packaging; John Balde (Ed.), Kluwer Academic Publishers, Boston, USA, December 2002. Hardbound, 340 pp, Number of figures and tables 200, ISBN 0-7923-7676-5.",2003,,,,2316504,journals/mr/Liu03,5,17,5,17,5,3
61,A Morphing with Geometric Continuity between Two Arbitrary Planar Polygons.,,Youdong Liang|Hujun Bao|Weihua Zhou,-2002,,,,632975,conf/pg/LiangBZ02,2,0,5,0,5,3
70,Abdülhakim Ünlü|Albert Levi,,"Two-Tier, Scalable and Highly Resilient Key Predistribution Scheme for Location-Aware Wireless Sensor Network Deployments.",-2010,,,,2150345,journals/monet/UnluL10,3,22,31,22,31,3
72,Mikhail Soutchanski|Eugenia Ternovskaia,,Logical Formalization of Concurrent Actions for Multi-Agent Systems.,1994,,,,195817,conf/ecaiw/SoutchanskiT94,2,0,33,0,33,3
76,Min-Soo Kim 0004,,Performance Improvement of the Attitude Estimation System Using Fuzzy Inference and Genetic Algorithms.,-2007,,,,2433501,series/asc/Kim07,5,0,35,0,35,3
81,Brian E. Mattioni|Gregory W. Kauffman|Peter C. Jurs|Laura L. Custer|Stephen K. Durham|Greg M. Pearl,,Predicting the Genotoxicity of Secondary and Aromatic Amines Using Data Subsetting To Generate a Model Ensemble.,2003,,,,2096067,journals/jcisd/MattioniKJCDP03,3,26,5,26,5,3
96,Michèle Rombaut|Nadine Le Fort-Piat,,Driving Activity: How to Improve Knowledge of the Environment.,-1997,,,,2314340,journals/jirs/RombautF97,0,33,5,33,5,3
98,Chul Soo Lee|HyunWook Park,,Near-lossless/lossless compression of error-diffused images using a two-pass approach.,-2003,,,,2251888,journals/tip/LeeP03,3,25,5,25,5,3
101,Hirokatsu Shirahama|Takahiro Hanyu,,Design of High-Performance Quaternary Adders Based on Output-Generator Sharing.,2008,,,,517812,conf/ismvl/ShirahamaH08,2,0,43,0,43,3
103,Wei Wang 0016|Changyun Wen,,A new approach to design robust backstepping controller for MIMO nonlinear systems with input unmodeled dynamics.,2009,,,,882578,conf/cdc/WangW09,1,0,44,0,44,3
104,Melanie Ruhe|Stefan Wagner,,Using the ProdFlow(TM) approach to address the myth of productivity in r&d organizations.,-2008,,,,836072,conf/esem/RuheW08,0,0,45,0,45,3
105,Geert-Jan Houben|Oscar Pastor|Daniel Schwabe|Óscar Corcho|Pedro Sampaio|Andreas Wombacher,,"Preface to SMIWEP-MATeS'06: workshop held in conjunction with the 6th international conference on web engineering (ICWE2006) Palo Alto, California, USA. July 10th, 2006.",2006,,,,436122,conf/icwe/HoubenPSCSW06,2,0,46,0,46,3
111,Tao Xie 0004|Xiao Qin,,Stochastic scheduling for multiclass applications with availability requirements in heterogeneous clusters.,-2008,,,,1878880,journals/cluster/XieQ08,3,36,5,36,5,3
114,Adaptive Power control Algorithm for Ad Hoc NetworksWith Short and Long Term Packet Correlations.,,Jun Zhang|Zuyuan Fang|Brahim Bensaou,2005,,,,565867,conf/lcn/ZhangFB05,1,0,51,0,51,3
115,Chi Zhang|Xiang Wang,,On Chip Cache Quantitative Optimization Approach: Study in Chip Multi-processor Design.,2009,,,,903220,conf/cnhpca/ZhangW09,4,0,52,0,52,3
116,Yijun Sun|Dapeng Wu,,A RELIEF Based Feature Extraction Algorithm.,2008,,,,677896,conf/sdm/SunW08,2,0,53,0,53,3
117,Jiqiang Lv|Xinmei Wang|Kwangjo Kim,,Practical convertible authenticated encryption schemes using self-certified public keys.,2005,,,,2308491,journals/amc/LvWK05a,2,27,54,27,54,3
124,Ian C. Wong|Brian L. Evans,,Optimal resource allocation in the OFDMA downlink with imperfect channel knowledge.,2009,,,,2237759,journals/tcom/WongE09,3,39,5,39,5,3
125,Alain Biem|Eric Bouillet|Hanhua Feng|Anand Ranganathan|Anton Riabov|Olivier Verscheure|Haris N. Koutsopoulos|Carlos Moran,,"IBM infosphere streams for scalable, real-time, intelligent transportation services.",2010,,,,703645,conf/sigmod/BiemBFRRVKM10,2,0,59,0,59,3
127,Mischa Weiss-Lijn|Janet T. McDonnell|Leslie James,,Interactive Visualization of Paragraph-level Metadata to Support Corporate Document Use.,2002,,,,2831,books/sp/geroimenko2002/Weiss-LijnMJ02,5,0,60,0,60,3
131,Goo Yeon Lee|Choong Kyo Jeong|Hwa Jong Kim|Yong Lee,,Optimal TCP segment size for mobile server access over wireless links of cellular networks.,2008,,,,2297183,journals/wicomm/LeeJKL08,5,42,0,42,0,3
132,José M. del Álamo|Miguel A. Monjas|Juan C. Yelmo|Beatriz San Miguel González|Rubén Trapero|Antonio M. Fernandez,,Self-service Privacy: User-Centric Privacy for Network-Centric Identity.,-2010,,,,914581,conf/ifiptm/AlamoMYGTF10,1,0,62,0,62,3
133,Reordering contigs of draft genomes using the Mauve Aligner.,,Anna I. Rissman|Bob Mau|Bryan S. Biehl|Aaron E. Darling|Jeremy D. Glasner|Nicole T. Perna,2009,,,,1846196,journals/bioinformatics/RissmanMBDGP09,3,0,5,0,5,3
139,Guang Yang 0001|Tony Sun|Mario Gerla|M. Y. Sanadidi|Ling-Jyh Chen,,Smooth and efficient real-time video transport in the presence of wireless errors.,2006,,,,2274850,journals/tomccap/YangSGSC06,3,0,5,0,5,3
144,Mo-Che Chan|Shun-Yun Hu|Jehn-Ruey Jiang,,An efficient and secure event signature (EASES) protocol for peer-to-peer massively multiplayer online games.,2008,,,,1882345,journals/cn/ChanHJ08,3,0,5,0,5,3
148,Research on the Convolution/Superposition Algorithm Based on Monte Carlo Calculation in IMRT.,,Bing Yan|Guoli Li|Hui Lin|Jia Jing|Chao Wang|Daning Sheng,2009,,,,848021,conf/bmei/YanLLJWS09,0,0,70,0,70,3
150,"A lightweight, robust P2P system to handle flash crowds.",,Angelos Stavrou|Dan Rubenstein|Sambit Sahu,2004,,,,2125917,journals/jsac/StavrouRS04,2,47,5,47,5,3
153,Yunong Zhang|Ke Chen 0004|Weimu Ma|Xiao-Dong Li,,MATLAB Simulation of Gradient-Based Neural Network for Online Matrix Inversion.,2007,,,,367540,conf/icic/ZhangCML07,1,0,72,0,72,3
164,Konrad Hofbauer|Horst Hering|Gernot Kubin,,A Measurement System and the TUG-EEC-Channels Database for the Aeronautical Voice Radio.,2006,,,,806748,conf/vtc/HofbauerHK06,1,0,76,0,76,3
165,Bo Wang 0004|Junshan Zhang,,"Throughput Scaling of Wideband Sensory Relay Networks: Cooperative Relaying, Power Allocation and Achievable Rates.",2006,,,,474700,conf/infocom/WangZ06,1,0,77,0,77,3
167,System-level exploration tool for energy-aware memory management in the design of multidimensional signal processing systems.,,Florin Balasa|Ilie I. Luican|Hongwei Zhu|Doru V. Nasui,2009,,,,60754,conf/aspdac/BalasaLZN09,2,0,21,0,21,3
171,Niels Kristian Bærendsen|Carsten Jessen|Jacob Nielsen,,Music-Making and Musical Comprehension with Robotic Building Blocks.,2009,,,,209030,conf/edutainment/BaerendsenJN09,2,0,5,0,5,3
177,Farooque Azam|Zhang Li|Rashid Ahmad,,Integrating value-based requirement engineering models to webml using vip business modeling framework.,2007,,,,789190,conf/www/AzamLA07,1,0,82,0,82,3
181,Michal Smialek,,Accommodating Informality with Necessary Precision in Use Case Scenarios.,2005,,,,2119978,journals/jot/Smialek05,2,52,5,52,5,3
183,Jeffrey Junfeng Pan|Qiang Yang|Yiming Yang|Lei Li|Frances Tianyi Li|George Wenmin Li,,Cost-Sensitive-Data Preprocessing for Mining Customer Relationship Management Databases.,-2007,,,,1985429,journals/expert/PanYYLLL07,3,53,5,53,5,3
184,Vito Albino|Nunzia Carbonara|Ilaria Giannoccaro,,Coordination Mechanisms based on Cooperation and Competition within Industrial Districts: An agent-based computational approach.,2003,,,,2084952,journals/jasss/AlbinoCG03,0,0,5,0,5,3
188,Fjodor Ruzic,,Teleports as Precursors of the 21st Century's Information Society.,-1989,,,,2254331,journals/tis/Ruzic89,3,56,5,56,5,3
195,B. S. Panda|Anita Das,,A Linear Time Algorithm for Constructing Tree 4-Spanner in 2-Trees.,2004,,,,116013,conf/cit/PandaD04,1,0,91,0,91,3
197,Cristiano Breuel|Francisco Reverbel,,User-Defined Join Point Selectors -- An Extension Mechanism for Pointcut Languages.,-2008,,,,2120272,journals/jot/BreuelR08,3,52,5,52,5,3
201,John H. Reif|Sudheer Sahu|Peng Yin,,Complexity of Graph Self-assembly in Accretive Systems and Self-destructible Systems.,2005,,,,187369,conf/dna/ReifSY05,1,0,84,0,84,3
210,Martin Ehler|Vinodh Rajapakse|Barry Zeeberg|Brian P. Brooks|Jacob Brown|Wojciech Czaja|Robert F. Bonner,,Analysis of Temporal-spatial Co-variation within Gene Expression Microarray Data in an Organogenesis Model.,2010,,,,825127,conf/isbra/EhlerRZBBCB10,1,0,101,0,101,3
214,Kyunghun Jung,,Transition from circuit-switched to packet-switched 3G mobile multimedia telephony.,2009,,,,780522,conf/wowmom/Jung09,1,0,104,0,104,3
216,Fadi A. Zaraket|Adnan Aziz|Sarfraz Khurshid,,Sequential circuits for program analysis.,2007,,,,553638,conf/kbse/ZaraketAK07,4,0,5,0,5,3
217,Gaëtan Droc|Christophe Périn|Sébastien Fromentin|Pierre Larmande,,OryGenesDB 2008 update: database interoperability for functional genomics of rice.,2009,,,,2160171,journals/nar/DrocPFL09,0,0,5,0,5,3
222,Structural Properties and Hamiltonicity of Neighborhood Graphs.,,Ingo Schiermeyer|Martin Sonntag|Hanns-Martin Teichert,2010,,,,1994562,journals/gc/SchiermeyerST10,3,62,0,62,0,3
223,Siegfried Hoener|Helmut Weber,,Leistungskriterien für Rechnernetze und ihre Betriebsstrategie.,1976,,,,561728,conf/kivs/HoenerW76,1,0,5,0,5,3
241,Jaap-Henk Hoepman|Engelbert Hubbers|Bart Jacobs|Martijn Oostdijk|Ronny Wichers Schreur,,Crossing Borders: Security and Privacy Issues of the European e-Passport,2008,,,,1914866,journals/corr/abs-0801-3930,2,5,0,5,0,3
244,Triangular approximations of fuzzy numbers using alpha-weighted valuations.,,Saeid Abbasbandy|E. Ahmady|N. Ahmady,2010,,,,2217365,journals/soco/AbbasbandyAA10,0,64,5,64,5,3
247,Mining Changes of E-shopper Purchase Behavior in B2C.,,Chong Wang|YiJun Li,2008,,,,254402,conf/fskd/WangL08b,1,0,26,0,26,3
248,Thomas Schindewolf|R. Albert|Wilhelm Stolz|W. Abmayr|Harry Harms,,Klassifikation melanozytärer Hautveränderungen anhand makroskopischer Farbaufnahmen.,-1993,,,,160477,conf/dagm/SchindewolfASAH93,1,0,120,0,120,3
249,Rubén Ruiz|Juan Carlos García-Díaz|Concepción Maroto,,Considering scheduling and preventive maintenance in the flowshop sequencing problem.,2007,,,,1903081,journals/cor/RuizGM07,3,66,5,66,5,3
250,Hyoungseop Kim|Masaki Maekado|Joo Kooi Tan|Seiji Ishikawa|Masaaki Tsukuda,,Ground-Glass Opacity Detection by Using Correlation between Successive Slice Images.,-2007,,,,2020423,journals/ijait/KimMTIT07,3,67,5,67,5,3
255,Steven G. Finn|Muriel Médard|Richard A. Barry,,A Novel Approach to Automatic Protection Switching Using Trees.,-1997,,,,322721,conf/icc/FinnMB97,4,0,5,0,5,3
257,Ramesh Chandra|Nickolai Zeldovich|Constantine P. Sapuntzakis|Monica S. Lam,,The Collective: A Cache-Based System Management Architecture.,2005,,,,610009,conf/nsdi/ChandraZSL05,2,0,125,0,125,3
259,A Unified Categorical Approach for Attributed Graph Rewriting.,,Maxime Rebout|Louis Féraud|Sergei Soloviev,2008,,,,147748,conf/csr/ReboutFS08,1,0,127,0,127,3
263,Yang Wang 0004|Prabir Bhattacharya,,An Algorithm for Finding Parameter Dependent: Connected Components of Gray Images.,1998,,,,633991,conf/pics/WangB98,1,0,130,0,130,3
265,Yayun Wan|Ajay Shrestha|Emad S. Ebbini,,Enhanced Image Resolution of Dual-Mode Ultrasound Array Using Coded Excitation.,-2007,,,,492057,conf/isbi/WanSE07,1,0,131,0,131,3
269,WhoPay: A Scalable and Anonymous Payment System for Peer-to-Peer Environments.,,Kai Wei|Alan J. Smith|Yih-Farn Robin Chen|Binh Vo,2006,,,,348698,conf/icdcs/WeiSCV06,1,0,133,0,133,3
271,A New Probability Inequality Using Typical Moments and Concentration Results.,,Ravindran Kannan,2009,,,,247572,conf/focs/Kannan09,2,0,134,0,134,3
282,Florian Schaub|Frank Kargl|Zhendong Ma|Michael Weber,,V-Tokens for Conditional Pseudonymity in VANETs.,2010,,,,874494,conf/wcnc/SchaubKMW10,1,0,108,0,108,3
290,Neighbor Aware Adaptive Power Flooding (NAAP) in Mobile Ad Hoc Networks.,,Justin Lipman|Paul Boustead|John Judge,2003,,,,2027532,journals/ijfcs/LipmanBJ03,0,71,5,71,5,3
291,Eun Young Choi|Jung Yeon Hwang|Dong Hoon Lee,,An Anonymous Asymmetric Public Key Traitor Tracing Scheme.,2003,,,,206323,conf/ecweb/ChoiHL03,1,0,147,0,147,3
297,DeQing Chen|Sandhya Dwarkadas|Srinivasan Parthasarathy|Eduardo Pinheiro|Michael L. Scott,,InterWeave: A Middleware System for Distributed Shared State.,2000,,,,567104,conf/lcr/ChenDPPS00,1,0,150,0,150,3
299,Ramin Halavati|Saeed Bagheri Shouraki|Mojdeh Jalali Heravi|Bahareh Jafari Jashmi,,An artificial immune system with partially specified antibodies.,-2007,,,,265487,conf/gecco/HalavatiSHJ07,1,0,5,0,5,3
301,Andrea Herrmann|Daniel Kerkow|Jörg Dörr,,Exploring the Characteristics of NFR Methods - A Dialogue About Two Approaches.,2007,,,,816169,conf/refsq/HerrmannKD07,1,0,5,0,5,3
310,Bey-Ling Su|Ming-Shi Wang|Yueh-Ming Huang,,Fuzzy logic weighted multi-criteria of dynamic route lifetime for reliable multicast routing in ad hoc networks.,2008,,,,1979551,journals/eswa/SuWH08,2,30,5,30,5,3
315,Csaba Veres|Jennifer Sampson|Steven J. Bleistein|Karl Cox|June M. Verner,,Using Semantic Technologies to Enhance a Requirements Engineering Approach for Alignment of IT with Business Strategy.,-2009,,,,865425,conf/cisis/VeresSBCV09,1,0,155,0,155,3
318,A review of DoS attack models for 3G cellular networks from a system-design perspective.,,Fabio Ricciato|Angelo Coluccia|Alessandro D'Alconzo,2010,,,,1890189,journals/comcom/RicciatoCD10,2,76,0,76,0,3
323,A low-cost video frame-rate up conversion using compressed-domain information.,,Shunichi Seki-guchi|Yuichi Idehara|Kazuo Sugimoto|Kohtaro Asai,-2005,,,,377862,conf/icip/Seki-guchiISA05,1,0,5,0,5,3
326,Serban Georgica Obreja|Mihai Stanciu|Eugen Borcoci|Silviu Ciochina|Radu Lupu,,Functionality and Scalability Validation for an End to End QoS Management System.,2009,,,,38468,conf/aict/ObrejaSBCL09,5,0,160,0,160,3
329,Wei-Po Lee|John Hallam|Henrik Hautop Lund,,Learning Complex Robot Behaviours by Evolutionary Computing with Task Decomposition.,-1997,,,,234414,conf/ewlr/LeeHL97,1,0,161,0,161,3
331,The Application of a Hypermedia Research System in Industry.,,Ian Heath|Wendy Hall|Richard Crowder|Gary Wills,-1999,,,,300663,conf/ht/HeathHCW99,1,0,163,0,163,3
334,Yu Huang|Jun Luo|Tingwen Huang|Mingqing Xiao,,The set of asymptotically stable switching sequences of linear discrete-time switching systems.,2009,,,,882756,conf/cdc/HuangLHX09,1,0,44,0,44,3
346,Editorial: Math. Log. Quart. 5/2008.,,Vasco Brattka|Hajime Ishihara|Matthias Schröder|Ning Zhong,-2008,,,,2147986,journals/mlq/BrattkaISZ08,0,82,5,82,5,3
347,Heriberto Zavala-Fernández|Tilmann H. Sander|Martin Burghoff|Reinhold Orglmeister|Lutz Trahms,,Comparison of ICA Algorithms for the Isolation of Biological Artifacts in Magnetoencephalography.,2006,,,,309527,conf/ica/Zavala-FernandezSBOT06,1,0,5,0,5,3
352,Asif Akram|David Meredith|Rob Allan,,Application of Business Process Execution Language to Scientific Workflows.,2006,,,,2334681,journals/itssa/AkramMA06,3,84,0,84,0,3
356,Jan Hoffmann 0002|Martin Hofmann,,Amortized Resource Analysis with Polynomial Potential.,2010,,,,221461,conf/esop/HoffmannH10,2,0,168,0,168,3
370,Alberto L. Sangiovanni-Vincentelli|Sandeep K. Shukla|Janos Sztipanovits|Guang Yang 0004|Deepak Mathaikutty,,Metamodeling: An Emerging Representation Paradigm for System-Level Design.,-2009,,,,1962868,journals/dt/Sangiovanni-VincentelliSSYM09,3,91,174,91,174,3
375,ProxNet: Secure Dynamic Wireless Connection by Proximity Sensing.,,Jun Rekimoto|Takashi Miyaki|Michimune Kohno,2004,,,,632391,conf/pervasive/RekimotoMK04,1,0,177,0,177,3
