,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
4,Jorge Semião|Juan J. Rodríguez-Andina|Fabian Vargas|Marcelino Bicho Dos Santos|Isabel C. Teixeira|João Paulo Teixeira,,Improving the Tolerance of Pipeline Based Circuits to Power Supply or Temperature Variations.,-2007,,,,180843,conf/dft/SemiaoRVSTT07,1,0,4,0,4,1
7,Patrice Caire,,A Normative Multi-Agent Systems Approach to the Use of Conviviality for Digital Cities.,-2007,,,,162991,conf/dagstuhl/Caire07,2,0,7,0,7,1
10,Sundeep B|Andrew Thangaraj,,Self-Orthogonality of q-Ary Images of qm-Ary Codes and Quantum Code Construction.,2007,,,,2261406,journals/tit/BT07,0,2,9,2,9,1
18,Gerardo Pardo-Castellote,,OMG Data-Distribution Service: Architectural Overview.,-2003,,,,349720,conf/icdcsw/Pardo-Castellote03,1,0,11,0,11,1
19,Ki-Hoon Lee|Kyu-Young Whang|Wook-Shin Han|Min-Soo Kim 0002,,Structural Consistency: Enabling XML Keyword Search to Eliminate Spurious Results Consistently,2009,,,,1922328,journals/corr/abs-0911-4329,3,5,5,5,5,1
20,Bin Liu|David J. Hill|Kok Lay Teo,,Input-to-state stability for a class of hybrid dynamical systems via hybrid time approach.,-2009,,,,883711,conf/cdc/LiuHT09,1,0,5,0,5,1
22,A fourth-order compact difference scheme on face centered cubic grids with multigrid method for solving 2D convection diffusion equation.,,Haiwei Sun|Ning Kang|Jun Zhang|Eric S. Carlson,-2003,,,,2324621,journals/mcs/SunKZC03,3,6,5,6,5,1
28,Sang-Heon Lee|Nam-Sung Kim|Heau-Jo Kang|Soon-Gohn Kim,,Performance Improvement of Intelligent UWB-IR Communication System in Multipath Channel.,-2006,,,,366780,conf/icic/LeeKKK06,0,0,0,0,0,1
33,Eugene Pamba Capo-Chichi|Hervé Guyennet|Jean-Michel Friedt,,IEEE 802.15.4 Performance on a Hierarchical Hybrid Sensor Network Platform.,-2009,,,,794722,conf/icns/Capo-ChichiGF09,2,0,15,0,15,1
39,Feng Wang|Michael J. Hannafin,,Scaffolding preservice teachers' WebQuest design: a qualitative study.,-2009,,,,2339884,journals/jche/WangH09,0,10,5,10,5,1
41,Matthias Bröcheler|Andrea Pugliese|V. S. Subrahmanian,,DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases.,2009,,,,684295,conf/semweb/BrochelerPS09,2,0,18,0,18,1
48,Germán Montoro|Pablo A. Haya|Xavier Alamán,,A Dynamic Spoken Dialogue Interface for Ambient Intelligence Interaction.,2010,,,,2407004,journals/ijaci/MontoroHA10,0,14,5,14,5,1
52,Stefano Maranò|Vincenzo Matta|Peter Willett,,Distributed Estimation in Large Wireless Sensor Networks via a Locally Optimum Approach.,-2008,,,,2350269,journals/tsp/MaranoMW08,3,15,5,15,5,1
62,Minghui Jiang|Brendan Mumey|Zhongping Qin|Andrew Tomascak|Binhai Zhu,,Approximations for Two Decomposition-Based Geometric Optimization Problems.,2004,,,,341121,conf/iccsa/JiangMQTZ04,1,0,5,0,5,1
63,D. Gonçalves,,On Vertex Partitions and the Colin de Verdière Parameter.,2007,,,,2379530,journals/endm/Goncalves07,1,19,0,19,0,1
64,Abraham Flaxman|Aram Wettroth Harrow|Gregory B. Sorkin,,Strings with Maximally Many Distinct Subsequences and Substrings.,-2004,,,,1885681,journals/combinatorics/FlaxmanHS04,3,20,27,20,27,1
65,Modèles d'Ordonnancement pour l'Annotation Automatique d'Images dans les Réseaux Sociaux.,,Ludovic Denoyer|Patrick Gallinari,2010,,,,137175,conf/coria/DenoyerG10,1,0,28,0,28,1
67,Feng Wang 0004|Yuan Xie,,Embedded Multi-Processor System-on-chip (MPSoC) design considering process variations.,2008,,,,485277,conf/ipps/WangX08,2,0,29,0,29,1
68,Performance analysis of single-slave Bluetooth piconets under cochannel interference.,,Daniel Cascado Caballero|José Luis Sevillano|Saturnino Vicente|Fernando Díaz del Río|Gabriel Jiménez|Alejandro Linares-Barranco|Antón Civit Balcells,2004,,,,879807,conf/pimrc/CaballeroSVRJLB04,0,0,30,0,30,1
69,Sunitha Ramanujam|Anubha Gupta|Latifur Khan|Steven Seida|Bhavani M. Thuraisingham,,R2D: Extracting Relational Structure from RDF Stores.,2009,,,,767281,conf/webi/RamanujamGKST09,4,0,5,0,5,1
71,Robert D. Stevens|Alan J. Robinson|Carole A. Goble,,myGrid: personalised bioinformatics on the information grid.,2003,,,,514809,conf/ismb/StevensRG03,2,0,32,0,32,1
77,Jin-Ho Kim|Young-Chul Kim|Han-Yang You|June Kim|Sooho Ok,,Design and Implementation of a Real-Time Static Locking Protocol for Main-Memory Database Systems.,2004,,,,32417,conf/advis/KimKYKO04,1,0,36,0,36,1
83,Somna Mishra|V. K. Katiyar|V. Arora,,Mathematical modeling of chemotherapy strategies in vascular tumor growth using nanoparticles.,-2007,,,,2306172,journals/amc/MishraKA07,2,27,5,27,5,1
89,Coherence Resonance in a Fitzhugh-nagumo Electronic System.,,Stefano Brugioni|Dong Uk Hwang|Riccardo Meucci|Stefano Boccaletti,-2007,,,,2382759,journals/ijbc/BrugioniHMB07,3,31,0,31,0,1
93,Yongxin Zhu|Weng-Fai Wong|Stefan Andrei,,An integrated performance and power model for superscalar processor designs.,-2005,,,,61998,conf/aspdac/ZhuWA05,1,0,21,0,21,1
95,JavaCHIME: Java class hierarchy inspector and method executer.,,Pallavi Tadepalli|H. Conrad Cunningham,2004,,,,7300,conf/ACMse/TadepalliC04,1,0,41,0,41,1
