,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
0,Said Hassan Ahmed|Tor Flå,,Estimation of Evolutionary Average Hydrophobicity Profile from a Family of Protein Sequences.,2007,,,,793190,conf/prib/AhmedF07,0,0,0,0,0,4
11,Detlef Sass|Sascha Junghans,,I2MP - An architecture for hardware-supported high-precision traffic measurement.,2006,,,,591877,conf/mmb/SassJ06,1,0,10,0,10,4
21,Gautam Hazari|Madhav P. Desai|H. Kasture,,On the Impact of Address Space Assignment on Performance in Systems-on-Chip.,2007,,,,756288,conf/vlsid/HazariDK07,2,0,1,0,1,4
23,Ying Lin|Jian Huang|Jun Zhang,,New evaluation criteria for the convergence of continuous evolutionary algorithms.,-2008,,,,821024,conf/cec/LinHZ08,1,0,12,0,12,4
27,The Semantic Foundations of a Compositional Proof Method for Synchronously Communicating Processes.,,Frank S. de Boer|Willem P. de Roever|Ulrich Hannemann,1999,,,,578457,conf/mfcs/BoerRH99,4,0,5,0,5,4
32,Bernd Heinrich|Marc-Andre Bewernik|Matthias Henneberger|Alexander Krammer|Florian Lautenbacher,,SEMPA - Ein Ansatz des Semantischen Prozessmanagements zur Planung von Prozessmodellen.,2008,,,,2296545,journals/wi/HeinrichBHKL08,2,8,5,8,5,4
34,Jun Zhang|Jinghui Zhong|Xiaomin Hu,,A Novel Genetic Algorithm with Orthogonal Prediction for Global Numerical Optimization.,-2008,,,,679065,conf/seal/ZhangZH08,4,0,16,0,16,4
35,Marius-Calin Silaghi,,Framework for Modeling Reordering Heuristics for Asynchronous Backtracking.,2006,,,,306181,conf/iat/Silaghi06,2,0,17,0,17,4
43,Yudong Tan|Vincent John Mooney III,,WCRT analysis for a uniprocessor with a unified prioritized cache.,2005,,,,567399,conf/lctrts/TanM05,1,0,20,0,20,4
44,Bauer/Günzel: Data-Warehouse-Systeme - Buchbesprechung.,,Stefan Conrad,2001,,,,1995139,journals/gidr/Conrad01,0,11,5,11,5,4
47,Joong-Seok Moon|William C. Athas|Sigfrid D. Soli|Jeffrey T. Draper|Peter A. Beerel,,Voltage-pulse driven harmonic resonant rail drivers for low-power applications.,-2003,,,,2291132,journals/tvlsi/MoonASDB03,3,13,5,13,5,4
49,Gabriel Jiménez|José Luis Sevillano|Antón Civit|Fernando Díaz del Río|Antón Civit-Breu,,Applications to Embedded Controllers: A General Study of Bus Elimination.,-1994,,,,53933,conf/appinf/JimenezSCRC94,2,0,22,0,22,4
51,Amaury Nève|Denis Flandre|Helmut Schettler|Thomas Ludwig 0004|Gerhard Hellner,,Design of a branch-based 64-bit carry-select adder in 0.18 µm partially depleted SOI CMOS.,2002,,,,512633,conf/islped/NeveFSLH02,2,0,5,0,5,4
55,A Phase-Field Based Segmentation Algorithm for Jacquard Images Using Multi-start Fuzzy Optimization Strategy.,,Zhilin Feng|Jianwei Yin|Hui Zhang 0004|Jinxiang Dong,2005,,,,253580,conf/fskd/FengYZD05,1,0,5,0,5,4
56,Qi-Wei Ge|Chen Li 0007|Mitsuru Nakata,,Performance Evaluation of a Two-Processor Scheduling Method for Acyclic SWITCH-less Program Nets.,-2005,,,,2009684,journals/ieicet/GeLN05,3,0,5,0,5,4
74,Ying Xu|Roch Guérin,,On the robustness of router-based denial-of-service (DoS) defense systems.,2005,,,,1867916,journals/ccr/XuG05,3,24,5,24,5,4
75,The use of a Reasoning process to solve the almost SLAM Challenge at the Robocup legged league.,,M. Teresa Escrig|Juan Carlos Peris,2005,,,,98022,conf/ccia/MonferrerB05,0,0,34,0,34,4
86,PC gestützte Analyse der Klimarelevenz landwirtschaftlicher Anbausysteme.,,Björn Küstermann|Harald Schmid|Harald Amon|Kurt-Jürgen Hülsbergen,2008,,,,272547,conf/gil/KustermannSAH08,1,0,39,0,39,4
87,Axel van Lamsweerde|Robert Darimont|Emmanuel Letier,,Managing Conflicts in Goal-Driven Requirements Engineering.,1998,,,,2283810,journals/tse/LamsweerdeDL98,2,29,5,29,5,4
88,Victor B. Kreng|Chih-Ming Tsai,,The construct and application of knowledge diffusion model.,2003,,,,1978632,journals/eswa/KrengT03,1,30,5,30,5,4
92,John Shadid|Ray S. Tuminaro,,Sparse iterative algorithm software for large-scale MIMD machines: An initial discussion and implementation.,1992,,,,1899360,journals/concurrency/ShadidT92,0,32,5,32,5,4
94,Yefu Wang|Xiaorui Wang|Ming Chen|Xiaoyun Zhu,,Power-Efficient Response Time Guarantees for Virtualized Enterprise Servers.,-2008,,,,662179,conf/rtss/WangWCZ08,1,0,5,0,5,4
97,Hsien-Chin Chiu|Chao-Hung Chen|Chih-Wei Yang|Jeffrey S. Fu|Cheng-Shun Wang,,Electrical and reliability characteristics of GaAs MOSHEMTs utilizing high-k IIIB and IVB oxide layers.,-2010,,,,2318461,journals/mr/ChiuCYFW10,5,17,0,17,0,4
99,Ik Rae Jeong|Jeong Ok Kwon|Dong Hoon Lee,,Stronger Chikazawa-Yamagishi ID-Based Key Distribution.,2009,,,,2015066,journals/ieicet/JeongKL09b,0,34,0,34,0,4
107,Pascal Urard|L. Paumier|P. Georgelin|T. Michel|V. Lebars|E. Yeo|B. Gupta,,A 135Mbps DVB-S2 compliant codec based on 64800-bit LDPC and BCH codes (ISSCC paper 24.3).,2005,,,,157881,conf/dac/UrardPGMLYG05,2,0,48,0,48,4
134,Tony Dean|Dennis Schaeffer|Weimin Xiao|Fan Wang,,HRPD-A Downlink Voice/IP and Data Throughput and Delay Analysis.,-2006,,,,780014,conf/wowmom/DeanSXW06,1,0,63,0,63,4
137,Atsushi Fukuda|Hiroshi Okazaki|Shoichi Narahashi,,Highly Efficient Multi-Band Power Amplifier Employing Reconfigurable Matching and Biasing Networks.,-2010,,,,2017277,journals/ieicet/FukudaON10,2,34,5,34,5,4
